12/02/2016	155.00	7235800
16/02/2016	158.70	5593800
17/02/2016	159.00	5825200
18/02/2016	172.42	3887600
19/02/2016	163.66	2959400
22/02/2016	170.12	5060100
23/02/2016	176.16	5984400
24/02/2016	172.75	5395600
25/02/2016	178.65	5750700
26/02/2016	188.70	6065100
29/02/2016	192.40	4499000
01/03/2016	194.25	6712200
02/03/2016	183.73	4862400
03/03/2016	188.28	4829000
04/03/2016	198.00	6489100
07/03/2016	197.68	5329400
08/03/2016	203.50	4178700
09/03/2016	204.52	3208600
10/03/2016	210.00	5192500
11/03/2016	207.93	3343100
14/03/2016	212.65	4065700
15/03/2016	214.27	3180500
16/03/2016	218.00	3516700
17/03/2016	221.47	3782900
18/03/2016	229.10	4711800
21/03/2016	235.34	5307800
22/03/2016	237.21	4316000
23/03/2016	232.37	4948800
24/03/2016	215.78	4960900
28/03/2016	231.61	3925700
29/03/2016	229.89	4014300
30/03/2016	235.09	4033000
31/03/2016	229.34	8012900
01/04/2016	244.83	15997500
04/04/2016	249.12	13475300
05/04/2016	240.50	9948700
06/04/2016	253.97	11705500
07/04/2016	266.45	8856200
08/04/2016	260.50	7363900
11/04/2016	251.00	9161700
12/04/2016	249.50	5763200
13/04/2016	248.51	4925600
14/04/2016	253.00	4132200
15/04/2016	251.31	3752400
18/04/2016	252.23	4271400
19/04/2016	253.12	6357500
20/04/2016	246.26	5194100
21/04/2016	248.99	2783100
22/04/2016	248.89	3786300
25/04/2016	253.01	3670300
26/04/2016	252.05	3223800
27/04/2016	252.75	3205800
28/04/2016	249.85	2519000
29/04/2016	248.14	5413800
02/05/2016	241.50	3843900
03/05/2016	237.36	4302200
04/05/2016	230.29	8700500
05/05/2016	228.46	11254800
06/05/2016	210.87	5685200
09/05/2016	215.72	4776400
10/05/2016	207.55	4070600
11/05/2016	207.59	5161900
12/05/2016	211.44	3650500
13/05/2016	207.78	2822800
16/05/2016	208.15	2949400
17/05/2016	209.05	2843600
18/05/2016	209.15	5617500
19/05/2016	213.62	6866300
20/05/2016	216.99	9007100
23/05/2016	219.87	5102500
24/05/2016	216.60	3013800
25/05/2016	217.91	3126800
26/05/2016	220.50	4072400
27/05/2016	224.99	3650300
31/05/2016	223.04	2789000
01/06/2016	221.48	2982700
02/06/2016	219.59	2032800
03/06/2016	220.00	2229000
06/06/2016	218.00	2249500
07/06/2016	222.24	6213600
08/06/2016	233.80	5972000
09/06/2016	234.98	4492100
10/06/2016	227.39	6026600
13/06/2016	219.50	4193000
14/06/2016	218.88	3580200
15/06/2016	216.95	2908500
